ESTACAO;CODIGO_WMO;MES;PRECIPITACAO_TOTAL_HORARIO_MM;TEMPERATURA_DO_AR___BULBO_SECO_HORARIA_C;TEMPERATURA_DO_PONTO_DE_ORVALHO_C;TEMPERATURA_MAXIMA_NA_HORA_ANT_AUT_C;TEMPERATURA_MINIMA_NA_HORA_ANT_AUT_C;TEMPERATURA_ORVALHO_MAX_NA_HORA_ANT_AUT_C;TEMPERATURA_ORVALHO_MIN_NA_HORA_ANT_AUT_C;UMIDADE_REL_MAX_NA_HORA_ANT_AUT_PCT;UMIDADE_REL_MIN_NA_HORA_ANT_AUT_PCT;UMIDADE_RELATIVA_DO_AR_HORARIA_PCT
ACEGUA;B828;1;0,01;21,28;17,13;22,49;20,8;17,29;15,99;77,68;70,21;74,01
ACEGUA;B828;2;0,0;23,0;17,52;23,83;21,97;18,56;17,19;77,19;70,58;73,99
ACEGUA;B828;3;0,09;21,17;17,53;20,93;20,65;18,19;17,26;86,23;81,01;83,66
ACEGUA;B828;4;0,01;18,76;15,02;18,93;18,45;15,53;14,16;84,03;78,59;81,39
ACEGUA;B828;5;0,01;12,8;9,44;13,46;12,11;9,31;10,45;84,82;79,74;82,38
ACEGUA;B828;9;;;;;;;;;;
ACEGUA;B828;10;0,0;17,0;11,51;16,81;15,78;11,69;11,07;76,4;69,64;73,02
ACEGUA;B828;11;0,02;19,12;11,56;19,03;18,85;12,2;12,1;68,97;61,88;65,38
ACEGUA;B828;12;0,02;22,87;16,94;24,6;22,68;17,46;16,3;73,46;66,31;69,9
AJURICABA;B843;1;;;;;;;;;;
AJURICABA;B843;2;;;;;;;;;;
AJURICABA;B843;3;;;;;;;;;;
AJURICABA;B843;4;0,03;18,88;15,4;20,0;20,56;16,31;13,52;79,86;72,55;76,16
AJURICABA;B843;5;0,0;14,36;12,06;15,24;15,08;12,61;10,29;83,85;77,97;80,99
ALEGRETE;A826;1;0,01;24,96;17,56;25,85;24,24;18,72;17,41;71,46;65,19;68,32
ALEGRETE;A826;2;0,06;25,77;20,63;27,49;25,45;20,84;19,68;73,1;66,77;69,9
ALEGRETE;A826;3;0,05;23,83;18,42;25,09;23,18;19,59;18,05;79,24;73,29;76,25
ALEGRETE;A826;4;0,05;20,37;16,59;20,67;19,62;16,54;16,05;82,91;77,87;80,43
ALEGRETE;A826;5;0,06;17,06;12,63;16,98;16,13;13,13;12,4;85,57;81,37;83,51
ALEGRETE;A826;6;0,04;14,64;10,99;14,96;14,16;10,67;10,34;83,43;79,16;81,32
ALEGRETE;A826;7;0,01;12,4;8,86;13,36;11,93;9,1;8,31;83,29;78,62;80,99
ALEGRETE;A826;8;0,03;14,59;10,18;14,88;13,88;11,04;10,01;80,93;75,99;78,5
ALEGRETE;A826;9;0,06;17,92;13,41;18,73;17,05;14,19;13,67;81,24;76,07;78,75
ALEGRETE;A826;10;0,03;20,67;14,56;21,19;19,72;15,14;13,83;75,25;69,15;72,17
ALEGRETE;A826;11;0,04;22,52;15,13;23,26;21,42;16,32;15,1;71,67;65,33;68,47
ALEGRETE;A826;12;0,04;22,63;15,67;23,68;22,09;17,43;14,62;72,27;65,34;68,62
ALEGRETE (MARONNA);B847;2;;;;;;;;;;
ALEGRETE (MARONNA);B847;3;;;;;;;;;;
ALEGRETE (MARONNA);B847;4;0,0;18,17;14,44;19,5;19,22;14,87;13,59;80,87;73,57;76,98
ALEGRETE (MARONNA);B847;5;0,02;17,91;13,38;19,25;17,12;13,59;11,68;80,97;75,41;78,2
BAGE;A827;1;0,01;23,41;16,94;23,71;21,95;18,09;16,57;75,57;68,55;72,08
BAGE;A827;2;0,02;24,19;18,81;25,59;23,74;19,26;18,18;75,9;69,49;72,76
BAGE;A827;3;0,03;22,52;17,54;23,24;21,71;17,97;16,84;79,24;73,11;76,29
BAGE;A827;4;0,04;18,56;14,37;19,12;18,14;14,68;13,42;81,93;76,53;79,26
BAGE;A827;5;0,05;14,13;11,08;14,62;13,99;11,48;10,3;85,17;80,35;82,84
BAGE;A827;6;0,03;13,01;10,13;13,33;12,33;9,82;9,05;84,61;80,28;82,51
BAGE;A827;7;0,02;10,3;7,08;11,54;10,26;7,75;6,79;84,56;79,68;82,2
BAGE;A827;8;0,05;12,6;8,7;14,05;12,08;9,36;8,57;81,79;76,74;79,29
BAGE;A827;9;0,06;16,79;12,1;16,97;16,6;12,58;11,82;83,43;77,98;80,79
BAGE;A827;10;0,06;18,34;13,73;18,84;17,81;13,77;12,4;78,27;71,49;74,93
BAGE;A827;11;0,03;20,57;13,84;21,26;19,35;15,39;14,23;74,45;67,39;70,92
BAGE;A827;12;0,03;21,83;15,57;22,13;21,21;16,39;15,27;74,58;67,33;70,97
BAGE - CENTRO;B827;1;0,01;23,36;18,17;24,22;23,83;18,52;17,39;73,49;66,83;70,12
BAGE - CENTRO;B827;2;0,0;24,37;17,86;24,28;23,82;18,19;17,36;72,11;66,24;69,18
BAGE - CENTRO;B827;3;0,03;22,51;18,67;23,97;23,43;19,21;18,73;80,47;75,32;77,97
BAGE - CENTRO;B827;4;0,01;18,67;14,62;19,96;18,91;16,05;14,68;81,71;76,66;79,19
BAGE - CENTRO;B827;5;0,03;14,48;8,84;14,05;12,82;9,16;8,03;80,94;76,01;78,49
BAGE - CENTRO;B827;8;;;;;;;;;;
BAGE - CENTRO;B827;9;;;;;;;;;;
BAGE - CENTRO;B827;10;0,01;17,15;11,84;18,76;16,91;12,63;12,43;71,29;65,31;68,35
BAGE - CENTRO;B827;11;0,05;20,87;12,77;20,35;18,82;13,6;12,59;65,8;59,22;62,38
BAGE - CENTRO;B827;12;0,11;24,06;18,35;24,47;23,63;18,58;17,61;69,17;63,37;66,17
BARRA DO QUARAI;B848;1;;;;;;;;;;
BARRA DO QUARAI;B848;2;;;;;;;;;;
BARRA DO QUARAI;B848;3;;;;;;;;;;
BARRA DO QUARAI;B848;4;0,0;17,5;15,33;16,5;15,57;14,2;14,67;86,69;81,57;84,02
BARRA DO QUARAI;B848;5;;;;;;;;;;
BENTO GONCALVES;A840;1;0,01;21,91;17,08;22,52;21,18;17,56;16,47;78,02;72,46;75,31
BENTO GONCALVES;A840;2;0,04;23,41;18,46;24,26;22,98;19,23;17,88;77,85;72,45;75,21
BENTO GONCALVES;A840;3;0,02;22,13;17,25;22,73;21,81;18,11;17,05;79,4;74,28;76,91
BENTO GONCALVES;A840;4;0,09;18,73;14,7;19,25;18,22;15,73;14,05;82,28;77,47;79,9
BENTO GONCALVES;A840;5;0,13;14,14;11,64;16,17;14,0;13,26;11,57;85,12;80,71;82,74
BENTO GONCALVES;A840;6;0,09;13,9;9,58;14,89;13,23;9,65;10,0;83,79;80,54;82,19
BENTO GONCALVES;A840;7;0,02;12,48;8,38;12,88;11,94;9,18;7,85;82,14;78,16;80,19
BENTO GONCALVES;A840;8;0,04;14,45;8,81;15,06;13,52;10,25;9,31;78,1;73,7;75,92
BENTO GONCALVES;A840;9;0,04;18,05;12,58;17,59;17,78;13,05;12,57;77,37;72,4;74,9
BENTO GONCALVES;A840;10;0,02;18,74;14,03;18,41;18,01;14,44;13,85;77,99;73,16;75,6
BENTO GONCALVES;A840;11;0,0;20,74;15,24;21,22;21,11;15,6;14,82;74,49;69,57;72,1
BENTO GONCALVES;A840;12;0,04;20,22;15,12;19,88;19,36;15,8;14,61;79,76;74,66;77,26
BOM JESUS (INMET);B856;3;;;;;;;;;;
BOM JESUS (INMET);B856;4;0,0;14,0;12,44;16,19;14,93;12,58;11,71;83,96;77,89;81,01
BOM JESUS (INMET);B856;5;0,01;11,38;7,3;12,18;9,87;9,83;8,38;86,35;81,49;84,01
BOM JESUS - SANTO INACIO;B857;3;;;;;;;;;;
BOM JESUS - SANTO INACIO;B857;4;0,0;12,2;5,75;11,25;10,0;12,5;10,71;94,08;87,57;91,08
BOM JESUS - SANTO INACIO;B857;5;0,04;9,28;7,96;8,22;8,0;8,0;7,17;94,91;90,59;93,11
CACAPAVA DO SUL;A812;1;0,01;22,54;17,05;22,64;21,89;17,82;16,53;78,32;72,02;75,23
CACAPAVA DO SUL;A812;2;0,02;24,03;19,08;23,74;22,94;19,74;18,43;80,64;74,75;77,72
CACAPAVA DO SUL;A812;3;0,02;22,52;17,87;22,69;21,57;18,34;17,49;82,06;76,73;79,48
CACAPAVA DO SUL;A812;4;0,05;17,85;15,02;19,0;17,97;14,72;14,16;83,44;78,83;81,19
CACAPAVA DO SUL;A812;5;0,08;14,45;11,0;14,29;12,94;11,44;11,32;85,79;81,81;83,85
CACAPAVA DO SUL;A812;6;0,04;12,38;10,35;13,19;11,68;10,55;9,43;85,83;82,12;84,0
CACAPAVA DO SUL;A812;7;0,05;10,42;8,84;10,76;10,64;9,14;8,11;87,07;83,1;85,12
CACAPAVA DO SUL;A812;8;0,03;12,53;10,14;12,93;12,19;9,37;9,45;81,96;77,52;79,82
CACAPAVA DO SUL;A812;9;0,12;16,0;13,81;16,3;15,93;14,51;13,39;84,9;80,24;82,58
CACAPAVA DO SUL;A812;10;0,05;17,16;13,29;18,69;16,87;14,29;13,19;81,08;75,51;78,35
CACAPAVA DO SUL;A812;11;0,01;19,88;13,92;20,18;19,7;14,82;13,32;75,36;69,17;72,27
CACAPAVA DO SUL;A812;12;0,01;21,38;15,89;21,57;20,79;17,1;15,58;77,25;70,99;74,15
CACHOEIRA DO SUL;B822;1;0,0;24,63;18,68;25,72;24,16;19,92;18,47;76,94;69,3;72,98
CACHOEIRA DO SUL;B822;2;0,0;24,23;20,36;24,71;24,39;20,13;19,25;79,61;72,82;76,18
CACHOEIRA DO SUL;B822;3;0,01;24,5;20,23;25,84;23,65;20,82;19,83;81,89;76,5;79,17
CACHOEIRA DO SUL;B822;4;0,01;21,65;16,91;20,77;20,55;17,55;16,9;83,13;77,67;80,38
CACHOEIRA DO SUL;B822;5;0,0;14,74;9,4;15,15;13,49;10,15;8,64;85,07;79,67;82,39
CACHOEIRA DO SUL;B822;9;;;;;;;;;;
CACHOEIRA DO SUL;B822;10;0,01;19,67;14,69;20,9;18,23;15,0;13,78;77,44;69,99;73,53
CACHOEIRA DO SUL;B822;11;0,0;20,97;14,76;22,16;20,63;15,19;14,7;70,12;63,08;66,57
CACHOEIRA DO SUL;B822;12;0,02;24,3;19,99;25,85;25,17;19,83;19,46;77,59;70,65;74,05
CACHOEIRINHA;B808;1;0,01;23,28;19,48;25,28;24,58;19,67;17,78;78,3;71,45;74,84
CACHOEIRINHA;B808;2;0,02;24,41;20,78;25,3;24,69;20,5;20,23;81,6;75,51;78,54
CACHOEIRINHA;B808;3;0,02;24,77;20,93;24,83;24,23;21,71;20,17;83,4;78,56;80,96
CACHOEIRINHA;B808;4;0,01;21,14;17,32;21,69;21,1;17,79;17,1;83,91;78,51;81,23
CACHOEIRINHA;B808;5;0,01;15,48;12,39;15,68;15,15;12,6;11,78;85,44;80,23;82,79
CACHOEIRINHA;B808;6;;;;;;;;;;
CACHOEIRINHA;B808;7;;;;;;;;;;
CACHOEIRINHA;B808;8;;;;;;;;;;
CACHOEIRINHA;B808;9;0,04;17,58;14,13;18,83;16,18;14,09;12,71;82,17;75,5;78,83
CACHOEIRINHA;B808;10;0,01;20,07;15,36;20,37;19,33;15,58;14,76;81,01;74,77;77,89
CACHOEIRINHA;B808;11;0,01;20,75;16,08;20,38;21,21;16,58;14,94;77,48;70,8;74,1
CACHOEIRINHA;B808;12;0,04;24,72;20,72;24,68;23,97;20,3;19,53;80,82;74,47;77,67
CAMAQUA;A838;1;0,03;23,28;19,74;24,03;22,87;20,19;19,16;85,83;78,96;82,46
CAMAQUA;A838;2;0,02;24,52;20,87;24,71;23,76;21,32;20,32;85,42;78,75;82,2
CAMAQUA;A838;3;0,01;22,54;20,02;23,86;22,38;21,04;19,68;86,07;79,5;82,88
CAMAQUA;A838;4;0,04;19,32;16,83;19,92;18,83;16,6;15,84;88,3;82,26;85,35
CAMAQUA;A838;5;0,07;15,72;12,97;15,7;15,3;13,97;13,13;90,68;85,44;88,14
CAMAQUA;A838;6;0,06;14,21;12,09;14,44;13,16;12,25;12,24;91,57;86,92;89,27
CAMAQUA;A838;7;0,03;11,2;10,13;11,85;10,59;10,78;9,85;93,67;89,84;91,82
CAMAQUA;A838;8;0,06;13,51;11,63;13,63;12,82;11,87;10,55;91,45;87,02;89,25
CAMAQUA;A838;9;0,14;16,51;15,14;17,54;16,25;15,49;14,73;93,18;89,02;91,15
CAMAQUA;A838;10;0,02;19,33;15,81;19,57;18,22;15,7;15,17;86,55;80,33;83,45
CAMAQUA;A838;11;0,03;20,71;16,94;21,42;20,06;17,64;15,78;84,25;77,13;80,65
CAMAQUA;A838;12;0,1;22,51;18,32;22,62;21,6;18,8;17,95;85,15;78,11;81,64
CAMBARA DO SUL;A897;1;0,03;18,48;16,23;18,93;17,5;16,96;15,6;91,05;84,98;88,19
CAMBARA DO SUL;A897;2;0,04;20,49;18,03;21,33;19,47;18,56;17,41;89,78;83,46;86,83
CAMBARA DO SUL;A897;3;0,02;19,32;16,58;19,82;18,41;16,52;15,62;87,86;81,51;84,76
CAMBARA DO SUL;A897;4;0,04;15,53;13,65;16,9;15,71;14,12;13,55;91,01;86,08;88,65
CAMBARA DO SUL;A897;5;0,12;12,32;10,25;13,3;12,44;10,96;9,39;88,62;84,21;86,34
CAMBARA DO SUL;A897;6;0,1;11,99;9,04;12,27;11,19;9,7;8,28;88,1;83,76;86,02
CAMBARA DO SUL;A897;7;0,01;9,93;6,95;11,27;9,48;7,83;6,33;84,43;79,43;81,96
CAMBARA DO SUL;A897;8;0,03;12,77;8,11;13,54;11,89;8,35;7,52;81,09;75,49;78,37
CAMBARA DO SUL;A897;9;0,04;15,38;10,35;15,38;14,83;11,17;10,27;83,49;77,06;80,34
CAMBARA DO SUL;A897;10;0,02;15,4;12,31;15,96;13,96;13,48;11,29;88,4;82,78;85,67
CAMBARA DO SUL;A897;11;0,03;17,06;13,37;17,57;16,69;13,94;12,71;86,62;79,99;83,47
CAMBARA DO SUL;A897;12;0,02;16,92;14,45;17,98;16,44;15,12;13,26;88,03;81,72;84,97
CAMPO BOM;A884;1;0,02;24,71;18,77;25,88;23,65;19,66;18,48;77,04;70,18;73,66
CAMPO BOM;A884;2;0,04;26,28;20,47;27,13;25,28;21,15;19,85;78,36;72,24;75,32
CAMPO BOM;A884;3;0,02;25,38;19,57;25,51;24,47;20,41;19,57;79,01;73,31;76,23
CAMPO BOM;A884;4;0,07;20,84;17,1;21,69;19,72;17,57;16,75;83,85;78,61;81,29
CAMPO BOM;A884;5;0,06;16,39;13,2;17,36;16,39;14,15;13,31;86,79;81,94;84,43
CAMPO BOM;A884;6;0,08;15,95;13,54;16,49;16,2;13,05;12,78;86,99;82,09;84,61
CAMPO BOM;A884;7;0,03;13,48;11,09;13,7;13,37;11,98;10,2;86,99;83,14;85,12
CAMPO BOM;A884;8;0,01;15,72;10,73;16,72;15,67;11,96;10,23;80,4;75,6;78,07
CAMPO BOM;A884;9;0,08;19,01;15,2;19,77;17,71;15,54;14,99;81,55;76,28;78,96
CAMPO BOM;A884;10;0,02;21,15;15,33;21,29;19,26;15,94;14,47;77,77;71,15;74,4
CAMPO BOM;A884;11;0,02;22,81;16,46;22,84;21,65;17,77;15,76;76,15;69,24;72,67
CAMPO BOM;A884;12;0,03;23,47;18,01;24,51;23,2;18,87;17,71;77,7;71,06;74,38
CANELA;A879;1;0,04;19,71;16,16;20,72;19,09;16,7;15,37;85,26;79,25;82,35
CANELA;A879;2;0,03;21,01;18,05;21,56;20,77;18,33;17,32;85,9;80,29;83,25
CANELA;A879;3;0,04;20,09;16,87;20,61;19,58;17,23;16,57;85,79;80,54;83,27
CANELA;A879;4;0,06;16,7;14,25;17,36;16,46;14,36;13,57;87,99;83,41;85,79
CANELA;A879;5;0,11;13,62;11,14;14,21;12,92;11,27;10,77;89,49;85,65;87,67
CANELA;A879;6;0,13;15,34;10,76;15,34;14,05;10,19;10,24;84,19;80,5;82,38
CANELA;A879;7;0,04;9,98;7,08;12,22;10,63;7,63;7,28;86,22;82,27;84,34
CANELA;A879;8;0,08;13,08;8,97;13,94;11,13;9,92;8,03;78,85;73,56;76,22
CANELA;A879;9;0,05;16,19;12,01;16,83;15,35;12,08;12,08;81,61;76,52;79,11
CANELA;A879;10;0,06;16,37;11,98;17,18;15,41;12,81;11,87;84,86;79,96;82,46
